City_poll,Type_of_Location,ClusterId,year_number,month_number
AKOLA,Industrial,0,2011,1
AKOLA,Residential,0,2011,1
AKOLA,Industrial,0,2011,2
AKOLA,Residential,0,2011,2
AKOLA,Industrial,0,2011,3
AKOLA,Residential,0,2011,3
AKOLA,Industrial,0,2011,4
AKOLA,Residential,0,2011,4
AKOLA,Industrial,0,2011,5
AKOLA,Residential,0,2011,5
AKOLA,Industrial,0,2011,6
AKOLA,Residential,0,2011,6
AKOLA,Industrial,0,2011,7
AKOLA,Residential,0,2011,7
AKOLA,Industrial,0,2011,8
AKOLA,Residential,0,2011,8
AKOLA,Industrial,0,2011,9
AKOLA,Residential,0,2011,9
AKOLA,Industrial,0,2011,10
AKOLA,Residential,0,2011,10
AKOLA,Industrial,0,2011,11
AKOLA,Residential,0,2011,11
AKOLA,Industrial,0,2011,12
AKOLA,Residential,0,2011,12
AKOLA,Industrial,0,2012,1
AKOLA,Residential,0,2012,1
AKOLA,Industrial,0,2012,2
AKOLA,Residential,0,2012,2
AKOLA,Industrial,0,2012,3
AKOLA,Residential,0,2012,3
AKOLA,Industrial,0,2012,4
AKOLA,Residential,0,2012,4
AKOLA,Industrial,0,2012,5
AKOLA,Residential,0,2012,5
AKOLA,Industrial,0,2012,6
AKOLA,Residential,0,2012,6
AKOLA,Industrial,0,2012,7
AKOLA,Residential,0,2012,7
AKOLA,Industrial,0,2012,8
AKOLA,Residential,0,2012,8
AKOLA,Industrial,0,2012,9
AKOLA,Residential,0,2012,9
AKOLA,Industrial,0,2012,10
AKOLA,Residential,0,2012,10
AKOLA,Industrial,0,2012,11
AKOLA,Residential,0,2012,11
AKOLA,Industrial,0,2012,12
AKOLA,Residential,0,2012,12
AKOLA,Industrial,0,2013,1
AKOLA,Residential,0,2013,1
AKOLA,Industrial,0,2013,2
AKOLA,Residential,0,2013,2
AKOLA,Industrial,0,2013,8
AKOLA,Residential,0,2013,8
AKOLA,Industrial,0,2013,9
AKOLA,Residential,0,2013,9
AKOLA,Industrial,0,2013,10
AKOLA,Residential,0,2013,10
AKOLA,Industrial,0,2013,11
AKOLA,Residential,0,2013,11
AKOLA,Industrial,0,2013,12
AKOLA,Residential,0,2013,12
AKOLA,Residential,0,2014,1
AKOLA,Residential,0,2014,2
AKOLA,Residential,0,2014,3
AKOLA,Residential,0,2014,4
AKOLA,Residential,0,2014,5
AKOLA,Residential,0,2014,6
AKOLA,Residential,0,2014,7
AKOLA,Residential,0,2014,8
AKOLA,Residential,0,2014,9
AKOLA,Residential,0,2014,10
