,District_Name,Year,Male,Female,Total,Population_Density,Sex_Ratio,Literacy_Rate
0,AHMADNAGAR,2012,2368802.200000001,2224608.5000000005,4593410.700000004,268.9,938.9,79.4000000000001
1,AHMADNAGAR,2013,2394779.400000001,2248883.0000000005,4643662.400000004,271.8,938.8,79.8000000000001
2,AHMADNAGAR,2014,2420756.600000001,2273157.5000000005,4693914.100000003,274.7,938.7,80.2000000000001
3,AHMADNAGAR,2015,2446733.8000000007,2297432.0000000005,4744165.800000004,277.6,938.6,80.6000000000001
4,AKOLA,2012,941442.0999999999,890830.6000000001,1832272.6999999997,323.3,946.7999999999992,88.70000000000005
5,AKOLA,2013,950550.1999999998,900089.2000000001,1850639.3999999997,326.6,947.5999999999992,89.40000000000005
6,AKOLA,2014,959658.2999999999,909347.8000000002,1869006.0999999999,329.9,948.3999999999992,90.10000000000004
7,AKOLA,2015,968766.3999999999,918606.4000000001,1887372.7999999998,333.2,949.1999999999992,90.80000000000004
8,AMRAVATI,2012,1494283.399999999,1422290.1000000013,2916573.499999998,239.30000000000015,952.3,87.40000000000005
9,AMRAVATI,2013,1507798.799999999,1436903.2000000011,2944701.999999998,241.60000000000014,953.6,87.80000000000004
10,AMRAVATI,2014,1521314.199999999,1451516.3000000012,2972830.499999998,243.90000000000015,954.9,88.20000000000005
11,AMRAVATI,2015,1534829.5999999992,1466129.400000001,3000958.999999998,246.20000000000013,956.2,88.60000000000004
12,AURANGABAD,2012,1966379.600000001,1815329.2999999998,3781708.899999998,372.8999999999998,922.9000000000003,79.5999999999999
13,AURANGABAD,2013,2008290.200000001,1853845.5999999999,3862135.799999998,380.79999999999984,922.8000000000003,80.1999999999999
14,AURANGABAD,2014,2050200.800000001,1892361.8999999997,3942562.6999999983,388.6999999999998,922.7000000000004,80.7999999999999
15,AURANGABAD,2015,2092111.4000000008,1930878.1999999997,4022989.599999998,396.59999999999985,922.6000000000004,81.3999999999999
16,BHANDARA,2012,608727.5,598025.3,1206752.8,295.60000000000014,982.0999999999997,84.5999999999999
17,BHANDARA,2013,611935.0,601236.6,1213171.6,297.2000000000001,982.1999999999997,85.1999999999999
18,BHANDARA,2014,615142.5,604447.9,1219590.4,298.8000000000001,982.2999999999996,85.7999999999999
19,BHANDARA,2015,618350.0,607659.2,1226009.2,300.4000000000001,982.3999999999996,86.3999999999999
20,BID,2012,1372381.0000000002,1255047.8999999985,2627428.899999999,245.99999999999991,914.0000000000003,77.90000000000003
21,BID,2013,1395656.0000000002,1274152.7999999986,2669808.799999999,249.99999999999991,912.0000000000003,78.80000000000003
22,BID,2014,1418931.0000000002,1293257.6999999986,2712188.6999999993,253.99999999999991,910.0000000000003,79.70000000000003
23,BID,2015,1442206.0000000002,1312362.5999999987,2754568.599999999,257.9999999999999,908.0000000000003,80.60000000000002
24,BULDANA,2012,1356575.7,1265060.100000001,2621635.799999999,271.6999999999998,932.7999999999992,83.70000000000007
25,BULDANA,2013,1375591.4,1281422.200000001,2657013.599999999,275.3999999999998,931.5999999999992,84.40000000000008
26,BULDANA,2014,1394607.1,1297784.300000001,2692391.399999999,279.09999999999985,930.3999999999992,85.10000000000007
27,BULDANA,2015,1413622.8,1314146.4000000008,2727769.1999999993,282.79999999999984,929.1999999999992,85.80000000000007
28,CHANDRAPUR,2012,1129918.1000000008,1087709.4999999998,2217627.6000000006,194.19999999999985,962.2999999999996,80.70000000000007
29,CHANDRAPUR,2013,1136002.2000000007,1094945.9999999998,2230948.2000000007,195.39999999999986,963.5999999999997,81.40000000000008
30,CHANDRAPUR,2014,1142086.3000000007,1102182.4999999998,2244268.8000000003,196.59999999999985,964.8999999999996,82.10000000000007
31,CHANDRAPUR,2015,1148170.4000000006,1109418.9999999998,2257589.4000000004,197.79999999999987,966.1999999999997,82.80000000000007
32,DHULE,2012,1071596.8999999997,1013556.6000000001,2085153.500000001,289.8000000000001,946.2000000000008,73.09999999999992
33,DHULE,2013,1089162.7999999998,1030282.2000000001,2119445.000000001,294.60000000000014,946.4000000000008,73.19999999999993
34,DHULE,2014,1106728.6999999997,1047007.8000000002,2153736.500000001,299.4000000000001,946.6000000000008,73.29999999999993
35,DHULE,2015,1124294.5999999999,1063733.4000000001,2188028.000000001,304.2000000000001,946.8000000000008,73.39999999999993
36,GADCHIROLI,2012,546350.7,536856.0999999999,1083206.8000000007,74.70000000000007,982.6000000000004,75.40000000000008
37,GADCHIROLI,2013,551373.4,542098.1999999998,1093471.6000000008,75.40000000000008,983.2000000000004,76.80000000000007
38,GADCHIROLI,2014,556396.1,547340.2999999999,1103736.4000000006,76.10000000000007,983.8000000000003,78.20000000000007
39,GADCHIROLI,2015,561418.8,552582.3999999999,1114001.2000000007,76.80000000000007,984.4000000000003,79.60000000000007
40,GONDIYA,2012,667826.0000000002,666861.0000000002,1334687.0000000005,255.40000000000015,998.4000000000003,85.6
41,GONDIYA,2013,674098.0000000002,672769.0000000002,1346867.0000000005,257.8000000000001,997.8000000000003,86.2
42,GONDIYA,2014,680370.0000000002,678677.0000000002,1359047.0000000005,260.20000000000016,997.2000000000004,86.8
43,GONDIYA,2015,686642.0000000002,684585.0000000002,1371227.0000000005,262.60000000000014,996.6000000000004,87.4
44,HINGOLI,2012,616386.0999999994,579977.4000000004,1196363.500000001,247.9000000000001,940.8999999999992,79.2
45,HINGOLI,2013,626478.1999999994,588903.8000000004,1215382.000000001,251.8000000000001,939.7999999999992,80.4
46,HINGOLI,2014,636570.2999999995,597830.2000000003,1234400.500000001,255.70000000000007,938.6999999999992,81.6
47,HINGOLI,2015,646662.3999999994,606756.6000000003,1253419.000000001,259.6000000000001,937.5999999999992,82.8
48,JALGAON,2012,2226552.2000000007,2058087.500000001,4284639.700000003,364.6999999999998,924.2,78.2999999999999
49,JALGAON,2013,2255739.4000000004,2083623.000000001,4339362.400000003,369.3999999999998,923.4,78.5999999999999
50,JALGAON,2014,2284926.6000000006,2109158.500000001,4394085.100000002,374.09999999999985,922.6,78.8999999999999
51,JALGAON,2015,2314113.8000000003,2134694.000000001,4448807.800000003,378.79999999999984,921.8,79.1999999999999
52,JALNA,2012,1029930.0,963722.5999999999,1993652.600000001,259.5000000000001,935.5999999999997,72.79999999999993
53,JALNA,2013,1048387.0,979872.1999999998,2028259.200000001,264.0000000000001,934.1999999999997,73.59999999999992
54,JALNA,2014,1066844.0,996021.7999999999,2062865.800000001,268.5000000000001,932.7999999999996,74.39999999999993
55,JALNA,2015,1085301.0,1012171.3999999999,2097472.400000001,273.0000000000001,931.3999999999996,75.19999999999993
56,KOLHAPUR,2012,1997976.800000001,1913308.1000000003,3911284.8999999985,508.6,957.7999999999992,82.5
57,KOLHAPUR,2013,2015295.600000001,1931273.2000000002,3946568.7999999984,513.2,958.5999999999992,83.0
58,KOLHAPUR,2014,2032614.4000000008,1949238.3000000003,3981852.699999999,517.8,959.3999999999992,83.5
59,KOLHAPUR,2015,2049933.200000001,1967203.4000000001,4017136.5999999987,522.4,960.1999999999992,84.0
60,LATUR,2012,1292928.3000000005,1198658.8000000005,2491587.1,348.1999999999998,927.2999999999992,77.49999999999997
61,LATUR,2013,1312716.6000000006,1216261.6000000006,2528978.2,353.3999999999998,926.5999999999992,77.99999999999997
62,LATUR,2014,1332504.9000000004,1233864.4000000004,2566369.3,358.59999999999985,925.8999999999992,78.49999999999997
63,LATUR,2015,1352293.2000000004,1251467.2000000004,2603760.4,363.79999999999984,925.1999999999992,78.99999999999997
64,MUMBAI,2012,1665244.199999999,1394904.7999999996,3060149.0,19491.1,837.4999999999997,89.29999999999994
65,MUMBAI,2013,1645880.399999999,1389006.5999999996,3034887.0,19330.2,842.9999999999997,89.59999999999994
66,MUMBAI,2014,1626516.5999999992,1383108.3999999994,3009625.0,19169.3,848.4999999999997,89.89999999999995
67,MUMBAI,2015,1607152.799999999,1377210.1999999995,2984363.0,19008.4,853.9999999999997,90.19999999999995
68,MUMBAI SUBURBAN,2012,5060283.299999998,4368333.000000002,9428616.300000006,21140.700000000008,863.799999999999,90.3
69,MUMBAI SUBURBAN,2013,5089243.599999998,4411027.000000002,9500270.600000005,21301.40000000001,867.5999999999991,90.6
70,MUMBAI SUBURBAN,2014,5118203.8999999985,4453721.000000002,9571924.900000006,21462.100000000006,871.3999999999991,90.9
71,MUMBAI SUBURBAN,2015,5147164.199999998,4496415.000000002,9643579.200000005,21622.800000000007,875.1999999999991,91.2
