,City_poll,Type_of_Location,ClusterId,year_number,month_number
0,AKOLA,Industrial,,2011,1.0
12,AKOLA,Residential,,2011,1.0
1,AKOLA,Industrial,,2011,2.0
13,AKOLA,Residential,,2011,2.0
2,AKOLA,Industrial,,2011,3.0
14,AKOLA,Residential,,2011,3.0
3,AKOLA,Industrial,,2011,4.0
15,AKOLA,Residential,,2011,4.0
4,AKOLA,Industrial,,2011,5.0
16,AKOLA,Residential,,2011,5.0
5,AKOLA,Industrial,,2011,6.0
17,AKOLA,Residential,,2011,6.0
6,AKOLA,Industrial,,2011,7.0
18,AKOLA,Residential,,2011,7.0
7,AKOLA,Industrial,,2011,8.0
19,AKOLA,Residential,,2011,8.0
8,AKOLA,Industrial,,2011,9.0
20,AKOLA,Residential,,2011,9.0
9,AKOLA,Industrial,,2011,10.0
21,AKOLA,Residential,,2011,10.0
10,AKOLA,Industrial,,2011,11.0
22,AKOLA,Residential,,2011,11.0
11,AKOLA,Industrial,,2011,12.0
23,AKOLA,Residential,,2011,12.0
24,AKOLA,Industrial,,2012,1.0
36,AKOLA,Residential,,2012,1.0
25,AKOLA,Industrial,,2012,2.0
37,AKOLA,Residential,,2012,2.0
26,AKOLA,Industrial,,2012,3.0
38,AKOLA,Residential,,2012,3.0
27,AKOLA,Industrial,,2012,4.0
39,AKOLA,Residential,,2012,4.0
28,AKOLA,Industrial,,2012,5.0
40,AKOLA,Residential,,2012,5.0
29,AKOLA,Industrial,,2012,6.0
41,AKOLA,Residential,,2012,6.0
30,AKOLA,Industrial,,2012,7.0
42,AKOLA,Residential,,2012,7.0
31,AKOLA,Industrial,,2012,8.0
43,AKOLA,Residential,,2012,8.0
32,AKOLA,Industrial,,2012,9.0
44,AKOLA,Residential,,2012,9.0
33,AKOLA,Industrial,,2012,10.0
45,AKOLA,Residential,,2012,10.0
34,AKOLA,Industrial,,2012,11.0
46,AKOLA,Residential,,2012,11.0
35,AKOLA,Industrial,,2012,12.0
47,AKOLA,Residential,,2012,12.0
48,AKOLA,Industrial,,2013,1.0
55,AKOLA,Residential,,2013,1.0
49,AKOLA,Industrial,,2013,2.0
56,AKOLA,Residential,,2013,2.0
50,AKOLA,Industrial,,2013,8.0
57,AKOLA,Residential,,2013,8.0
51,AKOLA,Industrial,,2013,9.0
58,AKOLA,Residential,,2013,9.0
52,AKOLA,Industrial,,2013,10.0
59,AKOLA,Residential,,2013,10.0
53,AKOLA,Industrial,,2013,11.0
60,AKOLA,Residential,,2013,11.0
54,AKOLA,Industrial,,2013,12.0
61,AKOLA,Residential,,2013,12.0
84,AKOLA,Residential,,2014,1.0
85,AKOLA,Residential,,2014,2.0
86,AKOLA,Residential,,2014,3.0
