District Name,Year,Male,Female,Total,Population Density,Sex Ratio,Literacy Rate
Nandurbar,1991,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Dhule,1991,1295288,1240427,2535715,352,958,51
Jalgaon,1991,1642873,1544761,3187634,271,940,64
Buldana,1991,966017,920282,1886299,195,953,62
Akola,1991,1142148,1072123,2214271,390,939,66
Washim,1991,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Amravati,1991,1136314,1063743,2200057,180,936,70
Wardha,1991,550370,516987,1067357,169,939,70
Nagpur,1991,1710404,1576735,3287139,332,922,74
Bhandara,1991,1060275,1047354,2107629,516,988,65
Gondiya,1991,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Gadchiroli,1991,398364,388646,787010,55,976,43
Chandrapur,1991,909787,862207,1771994,155,948,59
Yavatmal,1991,1064422,1012722,2077144,153,951,58
Nanden,1991,1197876,1132498,2330374,221,945,48
Hingoli,1991,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Parbhani,1991,1083794,1033241,2117035,341,953,48
Jalna,1991,696798,667627,1364425,177,958,46
Aurangabad,1991,1151693,1062086,2213779,218,922,57
Nashik,1991,1984973,1866379,3851352,248,940,62
Thane,1991,2792874,2456252,5249126,549,879,70
Mumbai Suburban,1991,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Mumbai,1991,5460145,4465746,9925891,63222,818,83
Raigarh,1991,907907,916909,1824816,255,1010,64
Pune,1991,2861460,2671072,5532532,354,933,71
Ahmadnagar,1991,1730609,1642326,3372935,198,949,61
Bid,1991,937410,884662,1822072,170,944,50
Latur,1991,863203,813438,1676641,234,942,56
Osmanabad,1991,658896,617431,1276327,169,937,54
Solapur,1991,1670516,1560541,3231057,217,934,56
Satara,1991,1208375,1242997,2451372,234,1029,67
Ratnagiri,1991,700190,843867,1544057,188,1205,63
Sindhudurg,1991,389384,442768,832152,160,1137,76
Kolhapur,1991,1524732,1464775,2989507,389,961,67
Sangli,1991,1128521,1080967,2209488,258,958,63
Nandurbar,2001,663511,648198,1311709,220,977,56
Dhule,2001,878372,829575,1707947,237,944,72
Jalgaon,2001,1905493,1777197,3682690,313,933,75
Buldana,2001,1147403,1085077,2232480,231,946,76
Akola,2001,841253,788986,1630239,287,938,81
Washim,2001,526094,494122,1020216,208,939,73
Amravati,2001,1345614,1261546,2607160,214,938,83
Wardha,2001,638990,597746,1236736,196,935,80
Nagpur,2001,2105314,1962323,4067637,411,932,84
Bhandara,2001,573445,562701,1136146,278,981,78
Gondiya,2001,598834,601873,1200707,229,1005,79
Gadchiroli,2001,491101,479193,970294,67,976,60
Chandrapur,2001,1062993,1008108,2071101,181,948,73
Yavatmal,2001,1265681,1192590,2458271,181,942,74
Nanden,2001,1481358,1394901,2876259,273,942,68
Hingoli,2001,505373,481787,987160,205,953,66
Parbhani,2001,780191,747524,1527715,246,958,66
Jalna,2001,826903,786077,1612980,210,951,64
Aurangabad,2001,1505363,1391650,2897013,286,924,73
Nashik,2001,2590912,2402884,4993796,322,927,74
Thane,2001,4377747,3754102,8131849,851,858,81
Mumbai Suburban,2001,4741720,3898699,8640419,19373,822,87
Mumbai,2001,1878246,1459785,3338031,21261,777,86
Raigarh,2001,1117628,1090301,2207929,309,976,77
Pune,2001,3769128,3463427,7232555,462,919,80
