,City_Town_Village_Area,Type_of_Location,month_number,year_number,NO2,RSPM_PM10,SO2,SPM
0,Akola,Industrial,1,2011,14.399999999999999,153.79999999999998,12.6,
1,Akola,Industrial,1,2012,12.0,147.73000000000002,11.0,
2,Akola,Industrial,1,2013,13.0,161.2,11.0,
3,Akola,Industrial,1,2015,10.0,128.2,8.0,
4,Akola,Industrial,2,2011,11.8,147.79999999999998,9.8,
5,Akola,Industrial,2,2012,14.0,157.232,12.0,
6,Akola,Industrial,2,2013,12.0,150.3,10.0,
7,Akola,Industrial,2,2015,10.0,130.0,8.0,
8,Akola,Industrial,3,2011,10.0,139.0,9.0,
9,Akola,Industrial,3,2012,14.0,164.07,12.0,
10,Akola,Industrial,3,2015,10.3,131.3,8.3,
11,Akola,Industrial,4,2011,15.0,166.0,13.0,
12,Akola,Industrial,4,2012,13.599999999999998,162.5,12.3,
13,Akola,Industrial,4,2015,10.0,127.1,7.1,
14,Akola,Industrial,5,2011,14.600000000000001,161.2,13.0,
15,Akola,Industrial,5,2012,15.1,166.33,13.0,
16,Akola,Industrial,5,2015,10.0,130.3,8.0,
17,Akola,Industrial,6,2011,12.8,146.4,10.8,
18,Akola,Industrial,6,2012,14.0,151.60199999999998,13.0,
19,Akola,Industrial,6,2015,10.0,124.0,8.0,
20,Akola,Industrial,7,2011,11.6,134.6,8.899999999999999,
21,Akola,Industrial,7,2012,12.0,146.87,10.4,
22,Akola,Industrial,7,2015,10.0,126.10000000000001,8.1,
23,Akola,Industrial,8,2011,13.0,151.8,11.0,
24,Akola,Industrial,8,2012,12.3,143.099,10.0,
25,Akola,Industrial,8,2013,9.0,125.4,7.4,
26,Akola,Industrial,9,2011,10.899999999999999,145.89999999999998,9.899999999999999,
27,Akola,Industrial,9,2012,12.0,146.53000000000003,10.3,
28,Akola,Industrial,9,2013,8.3,126.0,7.0,
29,Akola,Industrial,9,2015,10.2,133.4,9.2,
30,Akola,Industrial,10,2011,11.0,144.0,9.0,
31,Akola,Industrial,10,2012,11.0,139.468,9.0,
32,Akola,Industrial,10,2013,9.0,128.0,8.0,
33,Akola,Industrial,10,2015,11.0,134.2,10.0,
34,Akola,Industrial,11,2011,13.8,157.0,11.8,
35,Akola,Industrial,11,2012,12.0,149.0,11.0,
36,Akola,Industrial,11,2013,8.0,130.60000000000002,7.0,
37,Akola,Industrial,11,2015,13.1,146.10000000000002,11.2,
38,Akola,Industrial,12,2011,13.899999999999999,159.9,12.3,
39,Akola,Industrial,12,2012,14.0,155.80299999999997,12.0,
40,Akola,Industrial,12,2013,10.0,142.0,8.0,
41,Akola,Industrial,12,2015,12.0,134.2,9.1,
42,Akola,Residential,1,2011,9.0,125.0,7.0,
43,Akola,Residential,1,2012,12.0,167.33,9.5,
44,Akola,Residential,1,2013,11.0,167.53333332,10.0,
45,Akola,Residential,1,2014,11.0,162.20000000000002,9.0,
46,Akola,Residential,1,2015,9.0,148.0,8.0,
47,Akola,Residential,2,2011,10.0,131.0,9.0,
48,Akola,Residential,2,2012,12.0,171.33499999999998,10.0,
49,Akola,Residential,2,2013,10.5,158.0,9.0,
50,Akola,Residential,2,2014,11.0,167.0,10.0,
51,Akola,Residential,2,2015,8.5,149.0,8.0,
52,Akola,Residential,3,2011,10.0,132.0,9.0,
53,Akola,Residential,3,2012,12.0,177.39800000000002,11.0,
54,Akola,Residential,3,2014,11.7,175.0,9.0,
55,Akola,Residential,3,2015,9.0,149.4,8.0,
56,Akola,Residential,4,2011,10.700000000000001,131.0,8.700000000000001,
57,Akola,Residential,4,2012,11.5,173.83,9.5,
58,Akola,Residential,4,2014,12.0,179.39999999999998,11.0,
59,Akola,Residential,4,2015,7.0,114.30000000000001,6.3,
60,Akola,Residential,5,2011,10.0,136.0,9.0,
61,Akola,Residential,5,2012,12.0,177.03000000000003,10.700000000000001,
62,Akola,Residential,5,2014,13.0,173.3,11.0,
63,Akola,Residential,5,2015,7.3,115.3,7.0,
64,Akola,Residential,6,2011,9.600000000000001,122.2,8.0,
65,Akola,Residential,6,2012,11.0,164.67,9.0,
66,Akola,Residential,6,2014,10.0,166.0,10.0,
67,Akola,Residential,6,2015,8.6,140.6,7.6,
68,Akola,Residential,7,2011,12.0,126.0,7.0,
69,Akola,Residential,7,2012,11.0,161.6,9.2,
70,Akola,Residential,7,2014,10.7,167.39999999999998,9.0,
71,Akola,Residential,7,2015,9.0,140.8,8.0,
72,Akola,Residential,8,2011,8.700000000000001,126.80000000000001,7.0,
73,Akola,Residential,8,2012,11.0,150.26600000000002,8.0,
74,Akola,Residential,8,2013,9.0,132.7,8.0,
75,Akola,Residential,8,2014,10.0,165.5,9.0,
76,Akola,Residential,9,2011,11.0,131.9,8.400000000000002,
77,Akola,Residential,9,2012,10.4,159.268,9.0,
78,Akola,Residential,9,2013,8.0,138.26666668,7.0,
79,Akola,Residential,9,2014,8.5,128.0,7.5,
80,Akola,Residential,9,2015,7.0,140.0,7.0,
81,Akola,Residential,10,2011,10.0,135.0,9.0,
82,Akola,Residential,10,2012,12.0,156.798,9.2,
83,Akola,Residential,10,2013,8.0,139.13333332000002,7.4,
84,Akola,Residential,10,2014,10.2,162.5,8.6,
85,Akola,Residential,10,2015,9.0,143.6,8.0,
86,Akola,Residential,11,2011,9.3,132.6,8.0,
87,Akola,Residential,11,2012,12.2,164.802,10.399999999999999,
88,Akola,Residential,11,2013,8.0,144.0,6.300000000000001,
89,Akola,Residential,11,2014,11.2,171.0,10.0,
90,Akola,Residential,11,2015,10.5,166.0,9.5,
91,Akola,Residential,12,2011,10.3,137.3,8.0,
92,Akola,Residential,12,2012,12.0,172.07,11.0,
93,Akola,Residential,12,2013,8.0,152.43333332000003,7.300000000000001,
94,Akola,Residential,12,2014,10.3,154.7,8.6,
95,Akola,Residential,12,2015,9.0,145.39999999999998,8.4,
96,Amravati,Industrial,1,2006,12.4,,11.3,
97,Amravati,Industrial,1,2007,15.0,69.8,12.8,
98,Amravati,Industrial,1,2008,12.98,73.2,10.48,
99,Amravati,Industrial,1,2009,13.84,87.80000000000001,11.6,
100,Amravati,Industrial,1,2010,15.599999998000001,136.73333334,13.4,
101,Amravati,Industrial,1,2011,15.0,158.0,13.0,
102,Amravati,Industrial,1,2012,15.0,115.3,13.299999999999999,
103,Amravati,Industrial,1,2013,14.600000000000001,75.4,12.600000000000001,
104,Amravati,Industrial,1,2015,16.0,116.4,14.2,
105,Amravati,Industrial,2,2007,14.9,73.5,12.5,
106,Amravati,Industrial,2,2008,16.38,69.4,13.080000000000002,
107,Amravati,Industrial,2,2009,14.2,108.2,12.5,
108,Amravati,Industrial,2,2010,15.233333336,150.2,13.200000000000001,
109,Amravati,Industrial,2,2011,15.0,143.4,13.0,
110,Amravati,Industrial,2,2012,15.3,103.9,13.299999999999999,
111,Amravati,Industrial,2,2013,14.3,65.1,12.6,
112,Amravati,Industrial,2,2015,14.3,115.89999999999999,13.0,
113,Amravati,Industrial,3,2007,17.43,82.6,13.0,
114,Amravati,Industrial,3,2008,13.719999999999999,73.6,9.37,
115,Amravati,Industrial,3,2009,14.5,86.8,12.7,
116,Amravati,Industrial,3,2010,16.033333329999998,108.86666670000001,15.0,
117,Amravati,Industrial,3,2011,15.5,146.0,14.0,
118,Amravati,Industrial,3,2012,15.0,126.6,13.1,
119,Amravati,Industrial,3,2013,15.0,68.4,14.0,
120,Amravati,Industrial,3,2015,15.0,117.2,14.2,
121,Amravati,Industrial,4,2007,16.740000000000002,97.5,13.36,
122,Amravati,Industrial,4,2008,14.3,75.5,10.9,
123,Amravati,Industrial,4,2009,15.56,94.6,13.209999999999999,
124,Amravati,Industrial,4,2010,16.766666670000003,143.79999998,14.4,
125,Amravati,Industrial,4,2011,15.0,148.6,13.0,
126,Amravati,Industrial,4,2012,15.3,123.5,13.299999999999999,
127,Amravati,Industrial,4,2013,14.4,61.199999999999996,12.4,
128,Amravati,Industrial,4,2015,15.3,135.6,14.0,
129,Amravati,Industrial,5,2007,15.879999999999999,87.0,11.84,
130,Amravati,Industrial,5,2008,15.36,76.6,11.23,
131,Amravati,Industrial,5,2009,15.579999999999998,106.4,13.5,
132,Amravati,Industrial,5,2010,16.750000003,137.36666664,14.1,
133,Amravati,Industrial,5,2011,13.600000000000001,116.80000000000001,13.200000000000001,
134,Amravati,Industrial,5,2012,15.0,116.6,13.299999999999999,
135,Amravati,Industrial,6,2007,12.46,51.5,8.73,
136,Amravati,Industrial,6,2008,13.36,69.6,10.5,
137,Amravati,Industrial,6,2009,14.34,113.8,13.06,
138,Amravati,Industrial,6,2010,14.833333335999999,129.73333336000002,12.4,
139,Amravati,Industrial,6,2011,14.8,117.60000000000001,12.8,
140,Amravati,Industrial,6,2012,14.0,110.6,12.1,
141,Amravati,Industrial,6,2013,15.5,65.5,13.0,
142,Amravati,Industrial,6,2015,15.0,125.5,13.5,
143,Amravati,Industrial,7,2006,24.660000000000004,,14.290000000000001,
144,Amravati,Industrial,7,2007,13.54,68.69999999999999,9.73,
145,Amravati,Industrial,7,2008,14.46,79.6,10.899999999999999,
