,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2,RSPM_PM10,SO2,SPM,SO2_MOM_diff,month_number_diff,NO2_MOM_diff,RSPM_PM10_MOM_diff,SPM_MOM_diff
0,Akola,Industrial,20110010,2011,1,12.0,149.0,11.0,,,,,,
1,Akola,Industrial,20110020,2011,2,11.0,143.0,9.0,,-2.0,1.0,-1.0,-6.0,
2,Akola,Industrial,20110030,2011,3,10.0,139.0,9.0,,0.0,1.0,-1.0,-4.0,
3,Akola,Industrial,20110040,2011,4,14.0,165.0,12.0,,3.0,1.0,4.0,26.0,
4,Akola,Industrial,20110050,2011,5,14.0,148.0,12.0,,0.0,1.0,0.0,-17.0,
5,Akola,Industrial,20110060,2011,6,11.0,126.0,9.0,,-3.0,1.0,-3.0,-22.0,
6,Akola,Industrial,20110070,2011,7,10.0,113.0,7.0,,-2.0,1.0,-1.0,-13.0,
7,Akola,Industrial,20110080,2011,8,9.0,131.0,8.0,,1.0,1.0,-1.0,18.0,
8,Akola,Industrial,20110090,2011,9,10.0,136.0,8.0,,0.0,1.0,1.0,5.0,
9,Akola,Industrial,20110100,2011,10,10.5,141.0,9.0,,1.0,1.0,0.5,5.0,
10,Akola,Industrial,20110110,2011,11,12.0,148.0,11.0,,2.0,1.0,1.5,7.0,
11,Akola,Industrial,20110120,2011,12,13.0,153.0,11.5,,0.5,1.0,1.0,5.0,
12,Akola,Industrial,20120010,2012,1,11.0,137.0,9.5,,-2.0,-11.0,-2.0,-16.0,
13,Akola,Industrial,20120020,2012,2,13.0,150.33499999999998,11.0,,1.5,1.0,2.0,13.33499999999998,
14,Akola,Industrial,20120030,2012,3,13.0,161.67,12.0,,1.0,1.0,0.0,11.335000000000008,
15,Akola,Industrial,20120040,2012,4,11.5,150.67,10.5,,-1.5,1.0,-1.5,-11.0,
16,Akola,Industrial,20120050,2012,5,14.5,159.0,13.0,,2.5,1.0,3.0,8.330000000000013,
17,Akola,Industrial,20120060,2012,6,12.0,139.33,11.0,,-2.0,1.0,-2.5,-19.669999999999987,
18,Akola,Industrial,20120070,2012,7,11.0,125.0,9.0,,-2.0,1.0,-1.0,-14.330000000000013,
19,Akola,Industrial,20120080,2012,8,11.5,120.5,9.0,,0.0,1.0,0.5,-4.5,
20,Akola,Industrial,20120090,2012,9,10.0,127.66499999999999,9.0,,0.0,1.0,-1.5,7.164999999999992,
21,Akola,Industrial,20120100,2012,10,9.5,134.33,8.5,,-0.5,1.0,-0.5,6.6650000000000205,
22,Akola,Industrial,20120110,2012,11,12.0,146.33,10.0,,1.5,1.0,2.5,12.0,
23,Akola,Industrial,20120120,2012,12,13.0,152.83,11.5,,1.5,1.0,1.0,6.5,
24,Akola,Industrial,20130010,2013,1,11.5,155.0,10.0,,-1.5,-11.0,-1.5,2.1699999999999875,
25,Akola,Industrial,20130020,2013,2,12.0,146.5,10.0,,0.0,1.0,0.5,-8.5,
26,Akola,Industrial,20130080,2013,8,8.0,121.0,7.0,,,6.0,,,
27,Akola,Industrial,20130090,2013,9,8.0,122.0,7.0,,0.0,1.0,0.0,1.0,
28,Akola,Industrial,20130100,2013,10,8.0,125.5,7.5,,0.5,1.0,0.0,3.5,
29,Akola,Industrial,20130110,2013,11,7.0,130.0,6.0,,-1.5,1.0,-1.0,4.5,
30,Akola,Industrial,20130120,2013,12,9.0,140.5,8.0,,2.0,1.0,2.0,10.5,
31,Akola,Industrial,20150010,2015,1,9.0,127.0,7.0,,-1.0,-11.0,0.0,-13.5,
32,Akola,Industrial,20150020,2015,2,9.5,129.0,8.0,,1.0,1.0,0.5,2.0,
33,Akola,Industrial,20150030,2015,3,9.5,127.0,8.0,,0.0,1.0,0.0,-2.0,
34,Akola,Industrial,20150040,2015,4,9.0,125.0,7.0,,-1.0,1.0,-0.5,-2.0,
35,Akola,Industrial,20150050,2015,5,9.5,126.5,8.0,,1.0,1.0,0.5,1.5,
36,Akola,Industrial,20150060,2015,6,9.0,121.5,7.0,,-1.0,1.0,-0.5,-5.0,
37,Akola,Industrial,20150070,2015,7,9.0,124.0,7.0,,0.0,1.0,0.0,2.5,
38,Akola,Industrial,20150090,2015,9,10.0,129.0,9.0,,,2.0,,,
39,Akola,Industrial,20150100,2015,10,11.0,129.0,9.0,,0.0,1.0,1.0,0.0,
40,Akola,Industrial,20150110,2015,11,10.0,128.5,9.0,,0.0,1.0,-1.0,-0.5,
41,Akola,Industrial,20150120,2015,12,11.0,131.0,9.0,,0.0,1.0,1.0,2.5,
42,Akola,Residential,20110010,2011,1,8.5,124.0,7.0,,,,,,
43,Akola,Residential,20110020,2011,2,9.0,127.5,8.0,,1.0,1.0,0.5,3.5,
44,Akola,Residential,20110030,2011,3,9.0,127.0,7.5,,-0.5,1.0,0.0,-0.5,
45,Akola,Residential,20110040,2011,4,10.0,130.0,8.0,,0.5,1.0,1.0,3.0,
46,Akola,Residential,20110050,2011,5,10.0,133.0,8.5,,0.5,1.0,0.0,3.0,
47,Akola,Residential,20110060,2011,6,8.0,112.0,6.0,,-2.5,1.0,-2.0,-21.0,
48,Akola,Residential,20110070,2011,7,9.5,95.0,5.5,,-0.5,1.0,1.5,-17.0,
49,Akola,Residential,20110080,2011,8,8.0,118.0,6.0,,0.5,1.0,-1.5,23.0,
50,Akola,Residential,20110090,2011,9,10.0,121.0,6.0,,0.0,1.0,2.0,3.0,
51,Akola,Residential,20110100,2011,10,8.0,128.0,7.0,,1.0,1.0,-2.0,7.0,
52,Akola,Residential,20110110,2011,11,9.0,130.0,7.0,,0.0,1.0,1.0,2.0,
53,Akola,Residential,20110120,2011,12,9.0,134.0,8.0,,1.0,1.0,0.0,4.0,
54,Akola,Residential,20120010,2012,1,9.0,135.0,8.0,,0.0,-11.0,0.0,1.0,
55,Akola,Residential,20120020,2012,2,9.5,135.0,7.5,,-0.5,1.0,0.5,0.0,
56,Akola,Residential,20120030,2012,3,10.0,140.0,8.0,,0.5,1.0,0.5,5.0,
57,Akola,Residential,20120040,2012,4,9.0,148.67,8.0,,0.0,1.0,-1.0,8.669999999999987,
58,Akola,Residential,20120050,2012,5,10.0,134.5,9.0,,1.0,1.0,1.0,-14.169999999999987,
59,Akola,Residential,20120060,2012,6,9.0,136.0,8.0,,-1.0,1.0,-1.0,1.5,
60,Akola,Residential,20120070,2012,7,8.0,120.0,7.0,,-1.0,1.0,-1.0,-16.0,
61,Akola,Residential,20120080,2012,8,10.0,115.0,7.0,,0.0,1.0,2.0,-5.0,
62,Akola,Residential,20120090,2012,9,9.0,131.0,8.0,,1.0,1.0,-1.0,16.0,
63,Akola,Residential,20120100,2012,10,9.0,131.0,8.0,,0.0,1.0,0.0,0.0,
64,Akola,Residential,20120110,2012,11,10.0,141.0,8.0,,0.0,1.0,1.0,10.0,
65,Akola,Residential,20120120,2012,12,10.0,143.67,9.0,,1.0,1.0,0.0,2.6699999999999875,
66,Akola,Residential,20130010,2013,1,10.0,141.0,8.0,,-1.0,-11.0,0.0,-2.6699999999999875,
67,Akola,Residential,20130020,2013,2,9.0,140.0,8.0,,0.0,1.0,-1.0,-1.0,
68,Akola,Residential,20130080,2013,8,8.0,125.66666670000001,7.0,,,6.0,,,
69,Akola,Residential,20130090,2013,9,8.0,119.0,6.0,,-1.0,1.0,0.0,-6.6666667000000075,
70,Akola,Residential,20130100,2013,10,7.0,115.0,6.0,,0.0,1.0,-1.0,-4.0,
71,Akola,Residential,20130110,2013,11,7.0,142.33333330000002,6.0,,0.0,1.0,0.0,27.33333330000002,
