,District_Name,Year,Key,Year_curr,Male_curr,Female_curr,Total_curr,Population_Density_curr,Sex_Ratio_curr,Literacy_Rate_curr,Year_lookup_curr,Year_Fut,Male_Fut,Female_Fut,Total_Fut,Population_Density_Fut,Sex_Ratio_Fut,Literacy_Rate_Fut,Year_lookup_Fut,Male_Diff,Female_Diff,Total_Diff,Population_Density_Diff,Sex_Ratio_Diff,Literacy_Rate_Diff,Year_lookup_Diff,Male_FDiff,Female_FDiff,Total_FDiff,Population_Density_FDiff,Sex_Ratio_FDiff,Literacy_Rate_FDiff,Year_lookup_FDiff
0,Ahmadnagar,1991,0,1991.0,1730609.0,1642326.0,3372935.0,198.0,949.0,61.0,2001.0,2001.0,2083053.0,1957589.0,4040642.0,237.0,940.0,75.0,2011.0,352444.0,315263.0,667707.0,39.0,-9.0,14.0,10.0,35244.4,31526.3,66770.7,3.9,-0.9,1.4,1.0
1,Ahmadnagar,1992,0,,1765853.4,1673852.3,3439705.7,201.9,948.1,62.4,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
2,Ahmadnagar,1993,0,,1801097.7999999998,1705378.6,3506476.4000000004,205.8,947.2,63.8,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
3,Ahmadnagar,1994,0,,1836342.1999999997,1736904.9000000001,3573247.1000000006,209.70000000000002,946.3000000000001,65.2,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
4,Ahmadnagar,1995,0,,1871586.5999999996,1768431.2000000002,3640017.8000000007,213.60000000000002,945.4000000000001,66.60000000000001,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
5,Ahmadnagar,1996,0,,1906830.9999999995,1799957.5000000002,3706788.500000001,217.50000000000003,944.5000000000001,68.00000000000001,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
6,Ahmadnagar,1997,0,,1942075.3999999994,1831483.8000000003,3773559.200000001,221.40000000000003,943.6000000000001,69.40000000000002,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
7,Ahmadnagar,1998,0,,1977319.7999999993,1863010.1000000003,3840329.9000000013,225.30000000000004,942.7000000000002,70.80000000000003,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
8,Ahmadnagar,1999,0,,2012564.1999999993,1894536.4000000004,3907100.6000000015,229.20000000000005,941.8000000000002,72.20000000000003,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
9,Ahmadnagar,2000,0,,2047808.5999999992,1926062.7000000004,3973871.3000000017,233.10000000000005,940.9000000000002,73.60000000000004,,,,,,,,,,,,,,,,,35244.4,31526.3,66770.7,3.9,-0.9,1.4,
10,Ahmadnagar,2001,0,2001.0,2083052.999999999,1957589.0000000005,4040642.000000002,237.00000000000006,940.0000000000002,75.00000000000004,2011.0,2011.0,2342825.0,2200334.0,4543159.0,266.0,939.0,79.0,2021.0,259772.0,242745.0,502517.0,29.0,-1.0,4.0,10.0,25977.2,24274.5,50251.7,2.9,-0.1,0.4,1.0
11,Ahmadnagar,2002,0,,2109030.1999999993,1981863.5000000005,4090893.700000002,239.90000000000006,939.9000000000002,75.40000000000005,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
12,Ahmadnagar,2003,0,,2135007.3999999994,2006138.0000000005,4141145.4000000022,242.80000000000007,939.8000000000002,75.80000000000005,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
13,Ahmadnagar,2004,0,,2160984.5999999996,2030412.5000000005,4191397.1000000024,245.70000000000007,939.7000000000002,76.20000000000006,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
14,Ahmadnagar,2005,0,,2186961.8,2054687.0000000005,4241648.800000003,248.60000000000008,939.6000000000001,76.60000000000007,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
15,Ahmadnagar,2006,0,,2212939.0,2078961.5000000005,4291900.500000003,251.50000000000009,939.5000000000001,77.00000000000007,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
16,Ahmadnagar,2007,0,,2238916.2,2103236.0000000005,4342152.200000003,254.4000000000001,939.4000000000001,77.40000000000008,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
17,Ahmadnagar,2008,0,,2264893.4000000004,2127510.5000000005,4392403.900000003,257.30000000000007,939.3000000000001,77.80000000000008,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
18,Ahmadnagar,2009,0,,2290870.6000000006,2151785.0000000005,4442655.600000003,260.20000000000005,939.2,78.20000000000009,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
19,Ahmadnagar,2010,0,,2316847.8000000007,2176059.5000000005,4492907.300000004,263.1,939.1,78.6000000000001,,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
20,Ahmadnagar,2011,0,2011.0,2342825.000000001,2200334.0000000005,4543159.000000004,266.0,939.0,79.0000000000001,2021.0,,,,,,,,,,,,,,,,25977.2,24274.5,50251.7,2.9,-0.1,0.4,
21,Akola,1991,0,1991.0,1142148.0,1072123.0,2214271.0,390.0,939.0,66.0,2001.0,2001.0,841253.0,788986.0,1630239.0,287.0,938.0,81.0,2011.0,-300895.0,-283137.0,-584032.0,-103.0,-1.0,15.0,10.0,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,1.0
22,Akola,1992,0,,1112058.5,1043809.3,2155867.8,379.7,938.9,67.5,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
23,Akola,1993,0,,1081969.0,1015495.6000000001,2097464.5999999996,369.4,938.8,69.0,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
24,Akola,1994,0,,1051879.5,987181.9000000001,2039061.3999999997,359.09999999999997,938.6999999999999,70.5,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
25,Akola,1995,0,,1021790.0,958868.2000000002,1980658.1999999997,348.79999999999995,938.5999999999999,72.0,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
26,Akola,1996,0,,991700.5,930554.5000000002,1922254.9999999998,338.49999999999994,938.4999999999999,73.5,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
27,Akola,1997,0,,961611.0,902240.8000000003,1863851.7999999998,328.19999999999993,938.3999999999999,75.0,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
28,Akola,1998,0,,931521.5,873927.1000000003,1805448.5999999999,317.8999999999999,938.2999999999998,76.5,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
29,Akola,1999,0,,901432.0,845613.4000000004,1747045.4,307.5999999999999,938.1999999999998,78.0,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
30,Akola,2000,0,,871342.5,817299.7000000004,1688642.2,297.2999999999999,938.0999999999998,79.5,,,,,,,,,,,,,,,,,-30089.5,-28313.7,-58403.2,-10.3,-0.1,1.5,
31,Akola,2001,0,2001.0,841253.0,788986.0000000005,1630239.0,286.9999999999999,937.9999999999998,81.0,2011.0,2011.0,932334.0,881572.0,1813906.0,320.0,946.0,88.0,2021.0,91081.0,92586.0,183667.0,33.0,8.0,7.0,10.0,9108.1,9258.6,18366.7,3.3,0.8,0.7,1.0
32,Akola,2002,0,,850361.1,798244.6000000004,1648605.7,290.2999999999999,938.7999999999997,81.7,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
33,Akola,2003,0,,859469.2,807503.2000000004,1666972.4,293.5999999999999,939.5999999999997,82.4,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
34,Akola,2004,0,,868577.2999999999,816761.8000000004,1685339.0999999999,296.8999999999999,940.3999999999996,83.10000000000001,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
35,Akola,2005,0,,877685.3999999999,826020.4000000004,1703705.7999999998,300.19999999999993,941.1999999999996,83.80000000000001,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
36,Akola,2006,0,,886793.4999999999,835279.0000000003,1722072.4999999998,303.49999999999994,941.9999999999995,84.50000000000001,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
37,Akola,2007,0,,895901.5999999999,844537.6000000003,1740439.1999999997,306.79999999999995,942.7999999999995,85.20000000000002,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
38,Akola,2008,0,,905009.6999999998,853796.2000000003,1758805.8999999997,310.09999999999997,943.5999999999995,85.90000000000002,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
39,Akola,2009,0,,914117.7999999998,863054.8000000003,1777172.5999999996,313.4,944.3999999999994,86.60000000000002,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
40,Akola,2010,0,,923225.8999999998,872313.4000000003,1795539.2999999996,316.7,945.1999999999994,87.30000000000003,,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
41,Akola,2011,0,2011.0,932333.9999999998,881572.0000000002,1813905.9999999995,320.0,945.9999999999993,88.00000000000003,2021.0,,,,,,,,,,,,,,,,9108.1,9258.6,18366.7,3.3,0.8,0.7,
42,Amravati,1991,0,1991.0,1136314.0,1063743.0,2200057.0,180.0,936.0,70.0,2001.0,2001.0,1345614.0,1261546.0,2607160.0,214.0,938.0,83.0,2011.0,209300.0,197803.0,407103.0,34.0,2.0,13.0,10.0,20930.0,19780.3,40710.3,3.4,0.2,1.3,1.0
43,Amravati,1992,0,,1157244.0,1083523.3,2240767.3,183.4,936.2,71.3,,,,,,,,,,,,,,,,,20930.0,19780.3,40710.3,3.4,0.2,1.3,
