City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,year_number_diff,NO2_Median_YOY_diff,NO2_Median,Median_NO2_MOM_diff
Akola,Industrial,20110010,2011,1,,,12,
Akola,Industrial,20120010,2012,1,1,-1,11,-2
Akola,Industrial,20130010,2013,1,1,0.5,11.5,-1.5
Akola,Industrial,20150010,2015,1,2,,9,0
Akola,Industrial,20110020,2011,2,-4,,11,-1
Akola,Industrial,20120020,2012,2,1,2,13,2
Akola,Industrial,20130020,2013,2,1,-1,12,0.5
Akola,Industrial,20150020,2015,2,2,,9.5,0.5
Akola,Industrial,20110030,2011,3,-4,,10,-1
Akola,Industrial,20120030,2012,3,1,3,13,0
Akola,Industrial,20150030,2015,3,3,,9.5,0
Akola,Industrial,20110040,2011,4,-4,,14,4
Akola,Industrial,20120040,2012,4,1,-2.5,11.5,-1.5
Akola,Industrial,20150040,2015,4,3,,9,-0.5
Akola,Industrial,20110050,2011,5,-4,,14,0
Akola,Industrial,20120050,2012,5,1,0.5,14.5,3
Akola,Industrial,20150050,2015,5,3,,9.5,0.5
Akola,Industrial,20110060,2011,6,-4,,11,-3
Akola,Industrial,20120060,2012,6,1,1,12,-2.5
Akola,Industrial,20150060,2015,6,3,,9,-0.5
Akola,Industrial,20110070,2011,7,-4,,10,-1
Akola,Industrial,20120070,2012,7,1,1,11,-1
Akola,Industrial,20150070,2015,7,3,,9,0
Akola,Industrial,20110080,2011,8,-4,,9,-1
Akola,Industrial,20120080,2012,8,1,2.5,11.5,0.5
Akola,Industrial,20130080,2013,8,1,-3.5,8,
Akola,Industrial,20110090,2011,9,-2,,10,1
Akola,Industrial,20120090,2012,9,1,0,10,-1.5
Akola,Industrial,20130090,2013,9,1,-2,8,0
Akola,Industrial,20150090,2015,9,2,,10,
Akola,Industrial,20110100,2011,10,-4,,10.5,0.5
Akola,Industrial,20120100,2012,10,1,-1,9.5,-0.5
Akola,Industrial,20130100,2013,10,1,-1.5,8,0
Akola,Industrial,20150100,2015,10,2,,11,1
Akola,Industrial,20110110,2011,11,-4,,12,1.5
Akola,Industrial,20120110,2012,11,1,0,12,2.5
Akola,Industrial,20130110,2013,11,1,-5,7,-1
Akola,Industrial,20150110,2015,11,2,,10,-1
Akola,Industrial,20110120,2011,12,-4,,13,1
Akola,Industrial,20120120,2012,12,1,0,13,1
Akola,Industrial,20130120,2013,12,1,-4,9,2
Akola,Industrial,20150120,2015,12,2,,11,1
Akola,Residential,20110010,2011,1,,,8.5,
Akola,Residential,20120010,2012,1,1,0.5,9,0
Akola,Residential,20130010,2013,1,1,1,10,0
Akola,Residential,20140010,2014,1,1,-1,9,1
Akola,Residential,20150010,2015,1,1,-1,8,-1
Akola,Residential,20110020,2011,2,-4,,9,0.5
Akola,Residential,20120020,2012,2,1,0.5,9.5,0.5
Akola,Residential,20130020,2013,2,1,-0.5,9,-1
Akola,Residential,20140020,2014,2,1,1,10,1
Akola,Residential,20150020,2015,2,1,-2,8,0
Akola,Residential,20110030,2011,3,-4,,9,0
Akola,Residential,20120030,2012,3,1,1,10,0.5
Akola,Residential,20140030,2014,3,2,,10.5,0.5
Akola,Residential,20150030,2015,3,1,-2.5,8,0
Akola,Residential,20110040,2011,4,-4,,10,1
Akola,Residential,20120040,2012,4,1,-1,9,-1
Akola,Residential,20140040,2014,4,2,,11,0.5
Akola,Residential,20150040,2015,4,1,-4.5,6.5,-1.5
Akola,Residential,20110050,2011,5,-4,,10,0
Akola,Residential,20120050,2012,5,1,0,10,1
Akola,Residential,20140050,2014,5,2,,13,2
Akola,Residential,20150050,2015,5,1,-6,7,0.5
Akola,Residential,20110060,2011,6,-4,,8,-2
Akola,Residential,20120060,2012,6,1,1,9,-1
Akola,Residential,20140060,2014,6,2,,10,-3
Akola,Residential,20150060,2015,6,1,-3,7,0
Akola,Residential,20110070,2011,7,-4,,9.5,1.5
Akola,Residential,20120070,2012,7,1,-1.5,8,-1
Akola,Residential,20140070,2014,7,2,,9.5,-0.5
Akola,Residential,20150070,2015,7,1,-2.5,7,0
Akola,Residential,20110080,2011,8,-4,,8,-1.5
Akola,Residential,20120080,2012,8,1,2,10,2
Akola,Residential,20130080,2013,8,1,-2,8,
Akola,Residential,20140080,2014,8,1,1,9,-0.5
Akola,Residential,20110090,2011,9,-3,,10,2
Akola,Residential,20120090,2012,9,1,-1,9,-1
Akola,Residential,20130090,2013,9,1,-1,8,0
Akola,Residential,20140090,2014,9,1,0,8,-1
Akola,Residential,20150090,2015,9,1,-1,7,
Akola,Residential,20110100,2011,10,-4,,8,-2
Akola,Residential,20120100,2012,10,1,1,9,0
Akola,Residential,20130100,2013,10,1,-2,7,-1
Akola,Residential,20140100,2014,10,1,1,8,0
Akola,Residential,20150100,2015,10,1,0,8,1
Akola,Residential,20110110,2011,11,-4,,9,1
Akola,Residential,20120110,2012,11,1,1,10,1
Akola,Residential,20130110,2013,11,1,-3,7,0
Akola,Residential,20140110,2014,11,1,2,9,1
Akola,Residential,20150110,2015,11,1,-0.5,8.5,0.5
Akola,Residential,20110120,2011,12,-4,,9,0
Akola,Residential,20120120,2012,12,1,1,10,0
Akola,Residential,20130120,2013,12,1,-2,8,1
Akola,Residential,20140120,2014,12,1,1,9,0
Akola,Residential,20150120,2015,12,1,-1,8,-0.5
Amravati,Industrial,20060010,2006,1,,,12.4,
Amravati,Industrial,20070010,2007,1,1,0.7,13.1,-1.55
Amravati,Industrial,20080010,2008,1,1,-1.1,12,-0.7
Amravati,Industrial,20090010,2009,1,1,0.5,12.5,0.5
Amravati,Industrial,20100010,2010,1,1,2,14.5,1.8
Amravati,Industrial,20110010,2011,1,1,0.5,15,0.333333335
Amravati,Industrial,20120010,2012,1,1,-2,13,1
Amravati,Industrial,20130010,2013,1,1,0,13,0
Amravati,Industrial,20150010,2015,1,2,,15,1
