,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff,year_number_diff,NO2_Median_YOY_diff,SO2_Median_YOY_diff,RSPM_PM10_Median_YOY_diff,SPM_Median_YOY_diff,NO2_P10_YOY_diff,SO2_P10_YOY_diff,RSPM_PM10_P10_YOY_diff,SPM_P10_YOY_diff,NO2_P90_YOY_diff,SO2_P90_YOY_diff,RSPM_PM10_P90_YOY_diff,SPM_P90_YOY_diff
0,Akola,Industrial,20110010,2011,1,12.0,149.0,11.0,,,,,,10.4,129.0,7.800000000000002,,,,,,14.4,153.79999999999995,12.6,,,,,,,,,,,,,,,,,,,
1,Akola,Industrial,20120010,2012,1,11.0,137.0,9.5,,-2.0,-2.0,-16.0,,10.0,128.66899999999998,8.0,,-0.40000000000000036,-1.4000000000000004,-8.031000000000006,,12.0,147.73000000000005,11.0,,-11.0,-1.9000000000000004,-1.3000000000000007,-12.169999999999959,,1.0,-1.0,-1.5,-12.0,,-0.40000000000000036,0.1999999999999984,-0.3310000000000173,,-2.4000000000000004,-1.5999999999999996,-6.069999999999908,
2,Akola,Industrial,20130010,2013,1,11.5,155.0,10.0,,-1.5,-1.5,2.1699999999999875,,8.899999999999997,134.4,7.9,,-1.900000000000004,-0.9999999999999964,4.23599999999999,,13.0,161.2,11.0,,-11.0,-1.0,-1.0,5.39700000000002,,1.0,0.5,0.5,18.0,,-1.1000000000000032,-0.09999999999999964,5.731000000000023,,1.0,0.0,13.469999999999942,
3,Akola,Industrial,20150010,2015,1,9.0,127.0,7.0,,-1.0,0.0,-13.5,,8.8,124.8,7.0,,-0.1999999999999993,-1.0,-12.200000000000003,,10.0,128.2,8.0,,-11.0,0.0,0.0,-13.800000000000011,,2.0,,,,,,,,,,,,
4,Akola,Industrial,20110020,2011,2,11.0,143.0,9.0,,-2.0,-1.0,-6.0,,10.2,138.2,8.2,,-0.20000000000000107,0.3999999999999977,9.199999999999989,,11.8,147.79999999999995,9.8,,1.0,-2.5999999999999996,-2.799999999999999,-6.0,,-4.0,,,,,,,,,,,,
5,Akola,Industrial,20120020,2012,2,13.0,150.33499999999995,11.0,,1.5,2.0,13.334999999999981,,10.7,135.668,9.0,,0.6999999999999993,1.0,6.999000000000024,,14.0,157.232,12.0,,1.0,2.0,1.0,9.501999999999953,,1.0,2.0,2.0,7.334999999999951,,0.5,0.8000000000000007,-2.5319999999999823,,2.1999999999999993,2.1999999999999993,9.432000000000045,
6,Akola,Industrial,20130020,2013,2,12.0,146.5,10.0,,0.0,0.5,-8.5,,10.4,140.0,8.7,,1.5000000000000036,0.7999999999999989,5.599999999999994,,12.0,150.3,10.0,,1.0,-1.0,-1.0,-10.899999999999977,,1.0,-1.0,-1.0,-3.834999999999951,,-0.29999999999999893,-0.3000000000000007,4.331999999999994,,-2.0,-2.0,-6.931999999999988,
7,Akola,Industrial,20150020,2015,2,9.5,129.0,8.0,,1.0,0.5,2.0,,9.0,127.7,7.0,,0.1999999999999993,0.0,2.9000000000000057,,10.0,130.0,8.0,,1.0,0.0,0.0,1.8000000000000114,,2.0,,,,,,,,,,,,
8,Akola,Industrial,20110030,2011,3,10.0,139.0,9.0,,0.0,-1.0,-4.0,,10.0,139.0,9.0,,-0.1999999999999993,0.8000000000000007,0.8000000000000114,,10.0,139.0,9.0,,1.0,-1.8000000000000007,-0.8000000000000007,-8.799999999999955,,-4.0,,,,,,,,,,,,
9,Akola,Industrial,20120030,2012,3,13.0,161.67,12.0,,1.0,0.0,11.335000000000008,,12.6,157.468,11.6,,1.9000000000000004,2.5999999999999996,21.799999999999983,,14.0,164.07,12.0,,1.0,0.0,0.0,6.837999999999994,,1.0,3.0,3.0,22.669999999999987,,2.5999999999999996,2.5999999999999996,18.46799999999999,,4.0,3.0,25.069999999999993,
